Name,Surname,Century,YearOfBirth,Gender
Gonzalo,de Berceo,XIII,1196,M
Juan ,Ruiz,XIV,1283,M
Fernando,de Rojas,XV,1465,M
Garcilaso,de la Vega,XVI,1539,M
Miguel,de Cervantes,XVI,1547,M
Francisco,de Quevedo,XVI,1580,M
Luis,de Góngora,XVI,1561,M
Lope,de Vega,XVI,1562,M
Tirso,de Molina,XVI,1583,M
Calderón,de la Barca,XVII,1600,M
Adolfo,Bécquer,XIX,1836,M
Benito,Pérez Galdós,XIX,1843,M
Emilia,Pardo Bazán,XIX,1851,M
José,Ortega y Gasset,XX,1883,M
Isabel,de Villena,XV,1430,F
Beatriz,Galindo,XV,1465,F
Florencia,Pinar,XV,1470,F
Leonor,Centellas,XV,1475,F
Beatriz,Bernal,XVI,1501,F
Concepción,Arenal,XIX,1820,F
Rosalía,de Castro,XIX,1837,F
