Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,167529,155496,170976,161769,167427,161385,164234,168867,168473,174547,167272,173831
2011,170393,151354,174158,166858,174363,167673,168635,175618,168411,182977,181157,189487
2012,191472,181783,196138,189601,197456,188262,199368,196867,197942,216057,212472,220282
2013,219601,200383,223683,221242,227139,218355,233210,233599,235177,240600,237597,245937
2014,250430,228396,257225,255822,268025,262291,274273,276909,272623,287256,279821,296518
2015,290891,266154,297091,289755,293711,280734,292807,291702,284406,291419,279982,287533
